"# Table 7. Coarsening at 2 at.%, 36000 sweeps, two starting",configurations. Both converge on a single domain.
start,cycle,n_clusters,largest,largest_fraction,E_per_site_eV,alpha_In_Cu
single_ball,12400,1,1280,1.0000,-0.006744,-27.54
single_ball,12600,1,1280,1.0000,-0.006749,-27.55
single_ball,12800,1,1280,1.0000,-0.006750,-27.56
single_ball,13000,1,1280,1.0000,-0.006577,-27.52
single_ball,13200,1,1280,1.0000,-0.006759,-27.60
single_ball,13400,1,1280,1.0000,-0.006750,-27.56
single_ball,13600,1,1280,1.0000,-0.006755,-27.58
single_ball,13800,1,1280,1.0000,-0.006753,-27.57
single_ball,14000,1,1280,1.0000,-0.006755,-27.58
single_ball,14200,1,1280,1.0000,-0.006753,-27.57
single_ball,14400,1,1280,1.0000,-0.006753,-27.57
single_ball,14600,1,1280,1.0000,-0.006766,-27.54
single_ball,14800,1,1280,1.0000,-0.006767,-27.55
single_ball,15000,1,1280,1.0000,-0.006770,-27.56
single_ball,15200,1,1280,1.0000,-0.006682,-27.62
single_ball,15400,1,1280,1.0000,-0.006682,-27.62
single_ball,15600,1,1280,1.0000,-0.006787,-27.63
single_ball,15800,1,1280,1.0000,-0.006784,-27.62
single_ball,16000,1,1280,1.0000,-0.006783,-27.61
single_ball,16200,1,1280,1.0000,-0.006784,-27.62
single_ball,16400,1,1280,1.0000,-0.006786,-27.63
single_ball,16600,1,1280,1.0000,-0.006774,-27.57
single_ball,16800,1,1280,1.0000,-0.006781,-27.61
single_ball,17000,2,1268,0.9906,-0.006796,-27.48
single_ball,17200,1,1280,1.0000,-0.006791,-27.65
single_ball,17400,1,1280,1.0000,-0.006975,-27.64
single_ball,17600,1,1280,1.0000,-0.007037,-27.65
single_ball,17800,1,1280,1.0000,-0.007040,-27.66
single_ball,18000,1,1280,1.0000,-0.007040,-27.66
single_ball,18200,1,1280,1.0000,-0.007051,-27.70
single_ball,18400,1,1280,1.0000,-0.007056,-27.72
single_ball,18600,1,1280,1.0000,-0.007047,-27.68
single_ball,18800,1,1280,1.0000,-0.007054,-27.72
single_ball,19000,1,1280,1.0000,-0.007079,-27.74
single_ball,19200,1,1280,1.0000,-0.007081,-27.74
single_ball,19400,1,1280,1.0000,-0.007081,-27.74
single_ball,19600,1,1280,1.0000,-0.007068,-27.69
single_ball,19800,1,1280,1.0000,-0.007076,-27.72
single_ball,20000,1,1280,1.0000,-0.007084,-27.76
single_ball,20200,1,1280,1.0000,-0.007076,-27.72
single_ball,20400,1,1280,1.0000,-0.007073,-27.71
single_ball,20600,1,1280,1.0000,-0.007074,-27.72
single_ball,20800,1,1280,1.0000,-0.007068,-27.69
single_ball,21000,1,1280,1.0000,-0.007056,-27.64
single_ball,21200,1,1280,1.0000,-0.007078,-27.73
single_ball,21400,1,1280,1.0000,-0.007070,-27.70
single_ball,21600,1,1280,1.0000,-0.007075,-27.72
single_ball,21800,1,1280,1.0000,-0.006979,-26.55
single_ball,22000,1,1280,1.0000,-0.007100,-27.74
single_ball,22200,1,1280,1.0000,-0.007092,-27.70
single_ball,22400,1,1280,1.0000,-0.007100,-27.74
single_ball,22600,1,1280,1.0000,-0.007115,-27.80
single_ball,22800,1,1280,1.0000,-0.007071,-26.51
single_ball,23000,1,1280,1.0000,-0.007126,-27.76
single_ball,23200,1,1280,1.0000,-0.007117,-27.72
single_ball,23400,1,1280,1.0000,-0.007126,-27.76
single_ball,23600,1,1280,1.0000,-0.007131,-27.78
single_ball,23800,1,1280,1.0000,-0.007120,-26.89
single_ball,24000,1,1280,1.0000,-0.007127,-26.49
single_ball,24200,1,1280,1.0000,-0.007189,-26.92
single_ball,24400,1,1280,1.0000,-0.007226,-26.91
single_ball,24600,2,1279,0.9992,-0.007278,-26.96
single_ball,24800,1,1280,1.0000,-0.007307,-26.99
single_ball,25000,1,1280,1.0000,-0.007306,-26.99
single_ball,25200,1,1280,1.0000,-0.007312,-27.01
single_ball,25400,1,1280,1.0000,-0.007310,-27.01
single_ball,25600,1,1280,1.0000,-0.007324,-26.98
single_ball,25800,1,1280,1.0000,-0.007374,-27.02
single_ball,26000,1,1280,1.0000,-0.007405,-27.07
single_ball,26200,1,1280,1.0000,-0.007530,-27.08
single_ball,26400,1,1280,1.0000,-0.007667,-27.14
single_ball,26600,1,1280,1.0000,-0.007761,-27.20
single_ball,26800,1,1280,1.0000,-0.007791,-27.24
single_ball,27000,1,1280,1.0000,-0.007831,-27.24
single_ball,27200,1,1280,1.0000,-0.007875,-27.25
single_ball,27400,1,1280,1.0000,-0.007926,-27.29
single_ball,27600,1,1280,1.0000,-0.008015,-27.33
single_ball,27800,1,1280,1.0000,-0.008039,-27.34
single_ball,28000,1,1280,1.0000,-0.008116,-27.41
single_ball,28200,1,1280,1.0000,-0.008271,-27.46
single_ball,28400,1,1280,1.0000,-0.008269,-27.46
single_ball,28600,1,1280,1.0000,-0.008310,-27.46
single_ball,28800,1,1280,1.0000,-0.008338,-27.49
single_ball,29000,1,1280,1.0000,-0.008335,-27.48
single_ball,29200,1,1280,1.0000,-0.008349,-27.45
single_ball,29400,1,1280,1.0000,-0.008385,-27.52
single_ball,29600,1,1280,1.0000,-0.008446,-27.52
single_ball,29800,1,1280,1.0000,-0.008493,-27.54
single_ball,30000,1,1280,1.0000,-0.008516,-27.55
single_ball,30200,1,1280,1.0000,-0.008558,-27.56
single_ball,30400,1,1280,1.0000,-0.008588,-27.60
single_ball,30600,1,1280,1.0000,-0.008692,-27.70
single_ball,30800,1,1280,1.0000,-0.008852,-27.77
single_ball,31000,1,1280,1.0000,-0.008858,-27.80
single_ball,31200,1,1280,1.0000,-0.008861,-27.81
single_ball,31400,1,1280,1.0000,-0.008864,-27.82
single_ball,31600,1,1280,1.0000,-0.008859,-27.80
single_ball,31800,1,1280,1.0000,-0.008861,-27.81
single_ball,32000,1,1280,1.0000,-0.008862,-27.82
single_ball,32200,1,1280,1.0000,-0.008864,-27.82
single_ball,32400,1,1280,1.0000,-0.008862,-27.82
single_ball,32600,1,1280,1.0000,-0.008864,-27.82
single_ball,32800,1,1280,1.0000,-0.008862,-27.82
single_ball,33000,1,1280,1.0000,-0.008887,-27.83
single_ball,33200,1,1280,1.0000,-0.008889,-27.84
single_ball,33400,1,1280,1.0000,-0.008887,-27.83
single_ball,33600,1,1280,1.0000,-0.008889,-27.84
single_ball,33800,1,1280,1.0000,-0.008889,-27.84
single_ball,34000,1,1280,1.0000,-0.008887,-27.83
single_ball,34200,1,1280,1.0000,-0.008911,-27.85
single_ball,34400,1,1280,1.0000,-0.008912,-27.85
single_ball,34600,1,1280,1.0000,-0.008911,-27.85
single_ball,34800,1,1280,1.0000,-0.008912,-27.85
single_ball,35000,1,1280,1.0000,-0.008915,-27.87
single_ball,35200,1,1280,1.0000,-0.008911,-27.85
single_ball,35400,1,1280,1.0000,-0.008909,-27.84
single_ball,35600,1,1280,1.0000,-0.008912,-27.85
single_ball,35800,1,1280,1.0000,-0.008912,-27.85
